12/11/2016 - Abertas inscrições para Curso de Ecologia e Ecoturismo em Bonito	http://feedproxy.google.com/~r/portalbonito/~3/wnSLkpbZic8/abertas-inscricoes-para-curso-de-ecologia-e-ecoturismo-em-bonito
12/11/2016 - Cata Guavira apresenta gastronomia em Bonito	http://feedproxy.google.com/~r/portalbonito/~3/6vjdce5qj4Y/cata-guavira-apresenta-gastronomia-em-bonito
02/11/2016 - Prefeitura de Bonito apresentará propostas para áreas protegidas	http://feedproxy.google.com/~r/portalbonito/~3/ElGdXFe9mw8/prefeitura-de-bonito-apresentara-propostas-para-areas-protegidas
22/10/2016 - Chef Paulo Machado é destaque em revista de gastronomia	http://feedproxy.google.com/~r/portalbonito/~3/6KPW6kWc1Z4/chef-paulo-machado-e-destaque-em-revista-de-gastronomia
29/10/2016 - Projeto em Bonito realiza filmagens em atrativos turísticos	http://feedproxy.google.com/~r/portalbonito/~3/8kPwahYT8bo/projeto-em-bonito-realiza-filmagens-em-atrativos-turisticos
20/11/2016 - Alunos de Jardim e Guia Lopes da Laguna participam de ação ambiental	http://feedproxy.google.com/~r/portalbonito/~3/jPDmLZGq24U/alunos-de-jardim-e-guia-lopes-da-laguna-participam-de-acao-ambiental
14/12/2016 - Bonito é tendência de destino para se conhecer em 2017	http://feedproxy.google.com/~r/portalbonito/~3/u0ic9wH8fWI/bonito-e-tendencia-de-destino-para-se-conhecer-em-2017
31/12/2016 - Bonito será sede de evento sobre pavimentação em 2017	http://feedproxy.google.com/~r/portalbonito/~3/JlZD-ZXHUJY/bonito-sera-sede-de-evento-sobre-pavimentacao-em-2017
10/01/2017 - Instituto Homem Pantaneiro cria campanha para preservação do Pantanal	http://feedproxy.google.com/~r/portalbonito/~3/NSb57NEd3Wk/instituto-homem-pantaneiro-cria-campanha-para-preservacao-do-pantanal
31/12/2016 - Praça da Liberdade e Centro de Múltiplo Uso em Bonito serão revitalizados	http://feedproxy.google.com/~r/portalbonito/~3/y8qWnmrltt0/praca-da-liberdade-e-centro-de-multiplo-uso-em-bonito-serao-revitalizados
14/12/2016 - Bonito recebe curso de produção de biscoitos e bolos	http://feedproxy.google.com/~r/portalbonito/~3/P9H52E1H2gE/bonito-recebe-curso-de-producao-de-biscoitos-e-bolos
14/12/2016 - Blog Mundo Afora divulga belezas de Bonito e região	http://feedproxy.google.com/~r/portalbonito/~3/Yq2uGxYEERU/blog-mundo-afora-divulga-belezas-de-bonito-e-regiao
14/12/2016 - Atrativos de Bonito e região são destaques no site A Casa Nômade	http://feedproxy.google.com/~r/portalbonito/~3/aiUzY9fhQek/atrativos-de-bonito-e-regiao-sao-destaques-no-site-a-casa-nomade
10/01/2017 - Abertas inscrições para curso de cultivo de orquídeas em Bonito	http://feedproxy.google.com/~r/portalbonito/~3/QvDGfMcnl78/abertas-inscricoes-para-curso-de-cultivo-de-orquideas-em-bonito
Governador é alvo de novo pedido de impeachment no RJ	http://cbn.globoradio.globo.com/rio-de-janeiro/2017/01/13/SERVIDORES-PROTOCOLAM-PEDIDO-DE-IMPEACHMENT-CONTRA-PEZAO.htm
